molecule_chembl_id,canonical_smiles,standard_value,units
CHEMBL57639,O=C1Nc2ccc(Br)cc2/C1=C/c1[nH]cc2c1CCNC2=O,530.0,uM
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,3300.0,uM
CHEMBL58483,O=C1Nc2cccc(CCO)c2/C1=C/c1[nH]cc2c1CCOC2=O,30.0,uM
CHEMBL445607,O=C1Nc2cccc(CCO)c2/C1=C/c1[nH]cc2c1CCNC2=O,340.0,uM
CHEMBL59110,O=C1Nc2ccc(F)cc2/C1=C/c1[nH]cc2c1CCOC2=O,82.0,uM
CHEMBL293113,O=C1Nc2ccc(F)cc2/C1=C/c1[nH]cc2c1CCNC2=O,300.0,uM
CHEMBL131577,Cc1cccc(Cl)c1NC(=O)c1cnc(NC(=O)C2CC2)s1,25000.0,uM
CHEMBL48614,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccccc2Cl)C3=O)CC1,3970.0,uM
CHEMBL418203,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,220.0,uM
CHEMBL48362,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(S(N)(=O)=O)cc2)C3=O)CC1,30.0,uM
CHEMBL46181,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc(N4CCN(C)CC4)cc2)C3=O)CC1,2980.0,uM
CHEMBL51709,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccccc2)C3=O)CC1,1280.0,uM
CHEMBL45477,CN1CCC(c2c(O)cc(O)c3c2O/C(=C\c2ccc([N+](=O)[O-])cc2)C3=O)CC1,310.0,uM
CHEMBL308853,CNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,3.0,uM
CHEMBL40362,CCOc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1,200000.0,uM
CHEMBL72672,c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,3.0,uM
CHEMBL40326,Cc1nc2c(s1)C(=O)C=C(Nc1ccc(F)cc1)C2=O,200000.0,uM
CHEMBL307808,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccc(Sc5ccccc5)cn34)n2)cc1,16.0,uM
CHEMBL309573,COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,12.0,uM
