,SMILES,Name,MinimizedAffinity,MinimizedRMSD,Code,Predicted
61,COc1ccc(NC(=O)c2cccc(NC(=O)CN3C(=O)c4ccccc4C3=O)n2)cc1[N+](=O)[O-],MCULE-2409328037,-8.33869,3.39386,comp62,0
62,CCc1ccc(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(cc3)S(=O)(=O)N)cc1,MCULE-9426489182,-8.19619,2.72793,comp63,0
63,NS(=O)(=O)c1ccc(CCNc2nc(Nc3ccc4nc[nH]c4c3)ncc2[N+](=O)[O-])cc1,MCULE-6890335282,-8.1802,3.87715,comp64,0
64,COc1ccc(NC(=O)c2[nH]cnc2C(=O)Nc3ccc(cc3)[N+](=O)[O-])cc1,MCULE-6800734941 ChemDiv-6316-0023 MolPort-007-570-418 ZINC000004148880 ZINC04148880,-8.09671,1.77223,comp65,0
65,CCc1ccc(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(c(C)c3)[N+](=O)[O-])cc1,MCULE-2171316336,-8.07156,2.38702,comp66,0
66,[O-][N+](=O)c1cc(ccc1N2CCCC2)C(=O)Nc3n[nH]c(CCc4c[nH]c5ccccc45)n3,MCULE-1687753534,-8.02661,3.03823,comp67,0
67,COc1ccccc1OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(cc3)S(=O)(=O)N,MCULE-6462492245,-8.01558,3.67184,comp68,0
68,CN(C)c1nc(NCCCCc2ccccc2)nc(Nc3ccc(cc3)S(=O)(=O)N)n1,MCULE-3622478952,-7.9948,1.947,comp69,0
69,Cc1ccc(C)c(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(c(F)c3)[N+](=O)[O-])c1,MCULE-3457913446,-7.99442,3.45659,comp70,0
70,Cc1c(Nc2nc(NCCCn3ccnc3)nc(n2)N4CCC(CO)CC4)cccc1[N+](=O)[O-],MCULE-8304907874,-7.91033,7.34601,comp71,0
71,CN(Cc1ccccc1)c2nc(NCCc3c[nH]cn3)nc(Nc4ccc(cc4)S(=O)(=O)N)n2,MCULE-4357867842,-7.87843,3.38762,comp72,0
72,OC1CCN(CC1)c2nc(NCCCCc3ccccc3)nc(Nc4cccc(c4)[N+](=O)[O-])n2,MCULE-7820909073,-7.87693,5.3365,comp73,0
73,Brc1cnc(NCc2ccc3OCOc3c2)nc1NCCc4c[nH]cn4,MCULE-4343394851,-7.87098,4.35288,comp74,0
75,COc1ccc(CNc2nc(Nc3ccc4cc[nH]c4c3)nc(n2)N5CCC(O)CC5)cc1OC,MCULE-2268822338,-7.86029,6.18605,comp76,0
76,CN(Cc1ccccc1)c2nc(NCCN3CCOCC3)nc(Nc4ccc(cc4)S(=O)(=O)N)n2,MCULE-5598616502,-7.85419,4.95726,comp77,0
77,CCCNc1nc(Nc2ccc(OC)c(c2)[N+](=O)[O-])nc(n1)N(C)Cc3ccccc3,MCULE-9759310535,-7.81937,3.20523,comp78,0
78,[O-][N+](=O)c1ccc(NC(=O)c2cccc(NC(=O)COc3ccccc3Cl)n2)cc1F,MCULE-2277442053,-7.81762,4.10451,comp79,0
79,COc1ccc(CNc2nc(Nc3ccc4nc[nH]c4c3)ncc2[N+](=O)[O-])cc1OC,MCULE-2903728182,-7.77188,4.75979,comp80,0
80,Cc1ccc(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(cc3Cl)[N+](=O)[O-])cc1,MCULE-3698490297,-7.76386,2.92875,comp81,0
81,Cc1cc(NC(=O)c2cccc(NC(=O)COc3ccccc3Cl)n2)ccc1[N+](=O)[O-],MCULE-4500789477,-7.75502,3.66613,comp82,0
82,Cc1cccc(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(cc3)S(=O)(=O)N)c1C,MCULE-6009868018,-7.75299,3.74401,comp83,0
83,[O-][N+](=O)c1ccc(Cl)c(c1)C(=O)Nc2n[nH]c(CCc3c[nH]c4ccccc34)n2,MCULE-6323533595,-7.75113,2.18524,comp84,0
84,Cc1cccc(OCC(=O)Nc2cccc(n2)C(=O)Nc3ccc(c(F)c3)[N+](=O)[O-])c1C,MCULE-8899759992,-7.74615,3.19201,comp85,0
85,COc1ccc(CNc2nc(Nc3ccc4cc[nH]c4c3)nc(n2)N(C)CCO)cc1OC,MCULE-9447024176,-7.69974,4.65139,comp86,0
88,COc1ccc(CNc2nc(Nc3ccc4[nH]ncc4c3)nc(n2)N5CCC(C)CC5)cc1OC,MCULE-2850403769,-7.55425,6.08425,comp89,0
89,COc1ccc(Nc2nc(NCC(C)C)nc(n2)N(C)Cc3ccccc3)cc1[N+](=O)[O-],MCULE-6120362936,-7.52679,3.92965,comp90,0
90,CCc1nnc(NS(=O)(=O)c2ccc(N\C=C\3/C(=O)NC(=O)N(C3=O)c4ccccc4)cc2)s1,MCULE-7524609032 MolPort-019-731-103 PubChem-6811760,-7.51726,1.28193,comp91,0
